rank;name;agency;real name;group;age;height;weight;blood type;origin;country;position;industry;gender;curr date;birth date
967;Hyunji;LUK Factory;Kim Hyun Ji;Hashtag;27;165;45;;;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;30.06.1992
968;Kim Yoon;LPA Entertainment;;Dustin;;;;;;South Korea;Leader & Vocalist;K-pop;Male;23.04.2020;
969;Hwani;LPA Entertainment;;Dustin;;;;;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;
970;Seunghan;LPA Entertainment;;Dustin;;;;;;South Korea;Vocalist;K-pop;Male;23.04.2020;
971;JJ;LPA Entertainment;;Dustin;;168;;;;South Korea;Main Dancer;K-pop;Male;23.04.2020;
972;Bel;LPA Entertainment;;Dustin;;;;;;South Korea;Main Rapper;K-pop;Male;23.04.2020;
973;Yoonju;LPA Entertainment;Song Yoon-ju;Holics;19;161;46;O;Incheon;South Korea;Sub-Vocalist, Dancer, Maknae;K-pop;Female;23.04.2020;17.09.2000
974;Yeonjung;LPA Entertainment;Oh Yeon-jung;Holics;19;155;39;;Incheon;South Korea;Main Vocalist, Sub-Rapper, Dancer, Maknae;K-pop;Female;23.04.2020;23.07.2000
975;Jimin;LPA Entertainment;;Holics;;;;;;South Korea;;K-pop;Female;23.04.2020;
976;Siu;LPA Entertainment;;Dustin;;;;;;South Korea;Performance Director;K-pop;Male;23.04.2020;
977;MinA;LPA Entertainment;Lee Min-A;Holics;20;160;44;A;Incheon;South Korea;Main Rapper, Lead Vocalist, Dancer;K-pop;Female;23.04.2020;30.03.2000
978;Yoonsung;LPA Entertainment;Choi Yoon-sung;Holics;20;165;45;B;Incheon;South Korea;Sub-Vocalist;K-pop;Female;23.04.2020;20.01.2000
979;Yurim;LPA Entertainment;Lee Yu-rim;Holics;20;162;50;AB;Incheon;South Korea;Leader, Sub-Vocalist;K-pop;Female;23.04.2020;15.09.1999
980;Daon;LPA Entertainment;;Dustin;;;;;;South Korea;Sub Rapper;K-pop;Male;23.04.2020;
981;Taeri;LOUDers Entertainment;Im Yeonji;Hot Place;20;163;;A;;South Korea;Lead Vocalist, Lead Rapper, Maknae;K-pop;Female;23.04.2020;16.03.2000
982;Sihyun;LOUDers Entertainment;Kang Sihyeon;Hot Place;22;170;46;;;South Korea;Lead Dancer, Vocalist;K-pop;Female;23.04.2020;11.11.1997
983;Hanbit;LOUDers Entertainment;Kim Seohyun;Hot Place;25;167;;;;South Korea;Main Dancer, Vocalist, Rapper, Visual;K-pop;Female;23.04.2020;30.04.1995
984;Jeje;LOUDers Entertainment;Jang Somin;Hot Place;28;163;46;;;South Korea;Leader, Main Rapper, Main Vocalist, Lead Dancer;K-pop;Female;23.04.2020;10.04.1992
985;Sia;Liz Entertainment;;Chic Angel;;166;48;;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;
986;Abin;Liz Entertainment;;ICU;23;165;;A;;South Korea;Leader, Vocalist, Lead Rapper, Main Dancer;K-pop;Female;23.04.2020;22.06.1996
987;La Eun;Liz Entertainment;;Chic Angel;;167;48;;;South Korea;Main Rapper, Vocalist;K-pop;Female;23.04.2020;
988;U-Hee;Liz Entertainment;;Chic Angel;;170;50;;;South Korea;Leader, Main Dancer, Lead Vocalist, Visual;K-pop;Female;23.04.2020;
989;Chae-i;Liz Entertainment;;ICU;21;160;;A;;South Korea;Lead Vocalist, Rapper;K-pop;Female;23.04.2020;16.09.1998
990;Dayeon;Liz Entertainment;;Chic Angel;;170;50;;;South Korea;Vocalist, Maknae;K-pop;Female;23.04.2020;
991;Sha Sha;Liz Entertainment;;Chic Angel;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
992;Ella;Liz Entertainment;;ICU;20;163;;AB;;South Korea;Main Vocalist, Maknae;K-pop;Female;23.04.2020;11.06.1999
993;Hayu;Liz Entertainment;;ICU;21;161;;B;;South Korea;Lead Vocalist, Lead Dancer, Visual;K-pop;Female;23.04.2020;26.10.1998
994;Bomi;Liz Entertainment;Lee Hyun-ji;Chic Angel;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
995;Jin Woo;Liveworks Company;Lee Jin Woo;1TEAM;22;172;;A;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;20.02.1998
996;Jung Hoon;Liveworks Company;Lee Jung Hoon;1TEAM;19;;;B;Gyeongsangnam-do;South Korea;Lead Rapper, Maknae;K-pop;Male;23.04.2020;04.06.2000
997;Bc;Liveworks Company;Chin Sungho;1TEAM;25;174;58;O;;South Korea;Vocalist, Main Rapper;K-pop;Male;23.04.2020;18.07.1994
998;Rubin;Liveworks Company;Lee Rubin;1TEAM;24;179;55;AB;;South Korea;Leader, Lead Vocalist, Visual;K-pop;Male;23.04.2020;16.08.1995
999;Je Hyun;Liveworks Company;Moon Je Hyun;1TEAM;21;175;56;O;;South Korea;Vocalist, Main Dancer;K-pop;Male;23.04.2020;20.04.1999
1000;Kyuri;Live Entertainment;;2Wenty's;26;163;49;B;;South Korea;Main Vocalist, Maknae;K-pop;Female;23.04.2020;21.01.1994
1001;Jiheon;Live Entertainment;Kim Kyuri;2Wenty's;26;166;50;B;;South Korea;Main dancer, Vocalist, Visual;K-pop;Female;23.04.2020;16.12.1993
1002;Seul;Live Entertainment;Sulki;2Wenty's;26;162;43;A;;South Korea;Main rapper, Lead dancer, Vocalist, Visual;K-pop;Female;23.04.2020;13.11.1993
1003;Hwakyung;Live Entertainment;Kim Hwakyung;2Wenty's;26;164;49;A;;South Korea;Leader, Lead dancer, Vocalist;K-pop;Female;23.04.2020;19.05.1993
1004;Hanbyeol;Leek.mill;;Dorothy;;;;;;South Korea;Main Rapper, Maknae;K-pop;Female;23.04.2020;
1005;Jiyu;Leek.mill;;Dorothy;29;;;O;Seoul;South Korea;Leader, Main Vocalist;K-pop;Female;23.04.2020;07.09.1990
1006;Youna;Leek.mill;;Dorothy;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
1007;Yoonseol;LCH Entertainment;Jang Hayul;Prism;30;164;;;Busan;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;22.04.1990
1008;Terra;LCH Entertainment;;Prism;26;170;;;;South Korea;Main Vocalist, Visual;K-pop;Female;23.04.2020;27.08.1993
1009;Ryeowon;LCH Entertainment;Ham Yeji;Prism;25;167;49;B;;South Korea;Vocalist, Rapper, Main Dancer, Maknae;K-pop;Female;23.04.2020;08.07.1994
1010;Dakyung;LCH Entertainment;Kim Dakyung;Prism;30;175;;;;South Korea;Leader, Vocalist;K-pop;Female;23.04.2020;10.08.1989
1011;Seunyong;KYURI Entertainment;Lee Seungyong;N.CUS;;182;58;O;;South Korea;Vocalist, Main Rapper, Lead Dancer;K-pop;Male;23.04.2020;
1012;YUAN;KYURI Entertainment;;N.CUS;20;184;66;AB;;South Korea;Lead Vocalist, Visual, Lead Dancer;K-pop;Male;23.04.2020;25.03.2000
1013;Myeong;KYURI Entertainment;Kim Myeong;N.CUS;;179;65;B;;South Korea;Vocalist, Lead Dancer;K-pop;Male;23.04.2020;
1014;Seo Seokjin;KYURI Entertainment;Seo Seokjin;N.CUS;24;174;62;B;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;03.04.1996
1015;Sungsub;KYURI Entertainment;;N.CUS;23;174;51;O;;South Korea;Vocalist, Main Rapper, Lead Dancer;K-pop;Male;23.04.2020;03.04.1997
1016;Hojin;KYURI Entertainment;Jeon Hojin;N.CUS;21;175;59;B;;South Korea;Vocalist, Main Dancer, Choreographer;K-pop;Male;23.04.2020;08.08.1998
1017;EOS;KYURI Entertainment;;N.CUS;22;178;58;O;;South Korea;Leader, Vocalist, Rapper;K-pop;Male;23.04.2020;24.07.1997
1018;Euntaek;KYURI Entertainment;;N.CUS;21;173;51;B;;South Korea;Vocalist, Main Dancer;K-pop;Male;23.04.2020;23.02.1999
1019;SOON;KYURI Entertainment;;N.CUS;;;58;AB;;South Korea;Lead Vocalist, Visual, Lead Dancer;K-pop;Male;23.04.2020;
1020;IF;KYURI Entertainment;;N.CUS;20;181;50;B;;South Korea;Vocalist, Visual, Lead Rapper, Lead Dancer;K-pop;Male;23.04.2020;16.12.1999
1021;Hwan;KYURI Entertainment;;N.CUS;26;178;62;B;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;25.04.1994
1022;Hyeonmin;KYURI Entertainment;;N.CUS;17;180;58;B;;South Korea;Lead Dancer, Maknae;K-pop;Male;23.04.2020;31.03.2003
1023;Sara;Kyun Create;;HONEY POPCORN;;;;;;South Korea;;K-pop;Female;23.04.2020;
1024;Miko;Kyun Create;Okada Risako/Miko Matsuda;HONEY POPCORN;24;158;;B;Osaka;Japan;Main Dancer, Lead Vocalist, Maknae;K-pop;Female;23.04.2020;28.10.1995
1025;Ruka;Kyun Create;;HONEY POPCORN;24;;;A;;South Korea;;K-pop;Female;23.04.2020;10.01.1996
1026;Nako;Kyun Create;Nako Miyase;HONEY POPCORN;23;;;0;;South Korea;Lead Vocalist, Rapper, Main Dancer, Maknae;K-pop;Female;23.04.2020;10.01.1997
1027;Moko;Kyun Create;Ito Yuu/Moko Sakura;HONEY POPCORN;29;153;;B;Saitama;Japan;;K-pop;Female;23.04.2020;19.03.1991
1028;Yua;Kyun Create;Momona Kit/Yua Mikami;HONEY POPCORN;26;159;;A;Aichi Prefecture;Japan;Leader, Main Vocalist, Visual, Lead Dancer;K-pop;Female;23.04.2020;16.08.1993
1029;Sua;Krazy Entertainment;Yu Sua;AQUA;23;;;B;;South Korea;Main Dancer, Rapper;K-pop;Female;23.04.2020;17.01.1997
1030;Hyerim;Krazy Entertainment;Kim Hyerim;AQUA;20;166;45;O;;South Korea;Main Vocalist, Maknae;K-pop;Female;23.04.2020;30.06.1999
1031;Seungji;Krazy Entertainment;Na Seungji;AQUA;22;158;43;B;;South Korea;Main Dancer, Rapper;K-pop;Female;23.04.2020;05.02.1998
1032;Sihyun;Krazy Entertainment;Kim Sihyun;AQUA;20;157;43;;;South Korea;Main Dancer, Sub-Vocalist;K-pop;Female;23.04.2020;10.05.1999
1033;Hyeonju;Krazy Entertainment;Baek Hyeonju;AQUA;24;;;O;;South Korea;Leader, Sub-Vocalist;K-pop;Female;23.04.2020;29.01.1996
1034;Haesol;Krazy Entertainment;Yoon Haesol;AQUA;22;172;55;AB;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;27.12.1997
1035;San  ;KQ Entertainment;Choi San;ATEEZ;20;175;;B;Gyeongsan;South Korea;Lead Vocalist;K-pop;Male;23.04.2020;10.07.1999
1036;Seonghwa;KQ Entertainment;Park Seong Hwa;ATEEZ;22;178;61;O;;South Korea;Vocalist, Visual;K-pop;Male;23.04.2020;03.04.1998
1037;Hongjoong;KQ Entertainment;Kim Hong Joong;ATEEZ;21;171;;B;Gyeonggi-do;South Korea;Leader, Lead Rapper, Vocalist, Center, Composer;K-pop;Male;23.04.2020;07.11.1998
1038;Yeosang;KQ Entertainment;Kang Yeo Sang;ATEEZ;20;173;;A;Pohang;South Korea;Lead Dancer, Vocalist, Visual;K-pop;Male;23.04.2020;15.06.1999
1039;Yunho;KQ Entertainment;Jeong Yun Ho;ATEEZ;;184;;A;Gwangju;South Korea;Main Dancer, Vocalist;K-pop;Male;23.04.2020;
1040;Jongho;KQ Entertainment;Choi Jongho;ATEEZ;19;176;;O;Seoul;South Korea;Main Vocalist, Maknae;K-pop;Male;23.04.2020;12.10.2000
1041;Wooyoung;KQ Entertainment;Jung Wooyoung;ATEEZ;20;172;;A;Gyeonggi-do;South Korea;Main Dancer, Vocalist, Visual;K-pop;Male;23.04.2020;26.11.1999
1042;Mingi;KQ Entertainment;Song Mingi;ATEEZ;20;183;;B;Incheon;South Korea;Main Dancer, Main Rapper;K-pop;Male;23.04.2020;09.08.1999
1043;Anne;Kiwi Media Group;Lee Seoyoung;GWSN;19;;;A;;South Korea;Main Rapper, Vocalist;K-pop;Female;23.04.2020;17.10.2000
1044;Lena;Kiwi Media Group;Kang Lena;GWSN;18;169;;A;;South Korea;Main Vocalist, Center, Maknae;K-pop;Female;23.04.2020;17.04.2002
1045;SoSo;Kiwi Media Group;Wang Chingyi;GWSN;19;;;O;;Taiwan;Lead Dancer, Vocalist;K-pop;Female;23.04.2020;14.03.2001
1046;Minju;Kiwi Media Group;Kang Minju;GWSN;19;;;O;Masan;South Korea;Lead Vocalist, Lead Dancer, Rapper, Visual;K-pop;Female;23.04.2020;11.03.2001
1047;Seokyoung;Kiwi Media Group;Kim Seokyoung;GWSN;21;155;42;A;Ulsan;South Korea;Main Dancer, Lead Rapper, Vocalist;K-pop;Female;23.04.2020;16.04.1999
1048;Miya;Kiwi Media Group;Miyauchi Haruka;GWSN;26;163;;O;Shizuoka;Japan;Main Dancer, Rapper, Vocalist;K-pop;Female;23.04.2020;26.05.1993
1049;Seoryoung;Kiwi Media Group;Lee Seoryoung;GWSN;20;;;B;Masan;South Korea;Leader, Main Vocalist;K-pop;Female;23.04.2020;26.01.2000
1050;J-Kid;Kithewhale Entertainment;Han Jeonghoon;ENOi;20;177;61;AB+;;South Korea;Main Dancer, Lead Vocalist;K-pop;Male;23.04.2020;14.02.2000
1051;Gun;Kithewhale Entertainment;Yang Hyuk;ENOi;20;183;67;A+;;South Korea;Sub-rapper, Sub-vocalist, Maknae;K-pop;Male;23.04.2020;15.03.2000
1052;Jinwoo;Kithewhale Entertainment;Park Jinwoo;ENOi;20;167;51;O+;;South Korea;Sub-vocalist;K-pop;Male;23.04.2020;12.01.2000
1053;Avin;Kithewhale Entertainment;Park Donghyuk;ENOi;20;178;61;B+;;South Korea;Sub-Vocalist;K-pop;Male;23.04.2020;18.12.1999
1054;Hamin;Kithewhale Entertainment;Jo Hamin;ENOi;22;183;65;B+;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;24.10.1997
1055;Dojin;Kithewhale Entertainment;Jeon Yongtae;ENOi;23;181;61;AB+;;South Korea;Main Rapper;K-pop;Male;23.04.2020;07.03.1997
1056;Laon;Kithewhale Entertainment;Shin Kyuhyun;ENOi;24;177;60;B+;;South Korea;Leader, Lead Vocal;K-pop;Male;23.04.2020;19.12.1995
1057;Junghun;KINGTOP Entertainment;Jang Junghun;ASTIN;21;173;55;;;South Korea;Lead Vocalist;K-pop;Male;23.04.2020;27.02.1999
1058;Seungjun;KINGTOP Entertainment;Ji Seungjun;ASTIN;21;175;65;;;South Korea;Leader, Main Vocalist;K-pop;Male;23.04.2020;15.09.1998
1059;Yeram;KINGTOP Entertainment;Yang Yeram;ASTIN;20;173;59;;;South Korea;Vocalist;K-pop;Male;23.04.2020;31.03.2000
1060;Hyeongseok;KINGTOP Entertainment;Chu Hyeongseok;ASTIN;19;183;69;;;South Korea;Main Rapper;K-pop;Male;23.04.2020;13.09.2000
1061;Hongil;KINGTOP Entertainment;Yoon Hongil;ASTIN;21;182;70;;;South Korea;Lead Vocalist;K-pop;Male;23.04.2020;11.01.1999
1062;Hyerin;K12 Company;Shin Hyerin;BEBE6;;165;46;;Suncheon;South Korea;Vocalist;K-pop;Female;23.04.2020;
1063;Arin;K12 Company;Shin Arin;BEBE6;;165;47;;Suncheon;South Korea;Lead Rapper;K-pop;Female;23.04.2020;
1064;Pure;K12 Company;Son Jiyoung;BEBE6;25;;;;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;10.11.1994
1065;Yoonseul;K12 Company;Park Shinyoung;BEBE6;24;162;46;;Seoul;South Korea;Lead Vocalist, Maknae;K-pop;Female;23.04.2020;07.02.1996
1066;Lia;K12 Company;Lee Jiyeon;BEBE6;25;158;45;;Goesang;South Korea;Main Vocalist;K-pop;Female;23.04.2020;23.08.1994
1067;Bomah;K12 Company;Song Bomi;BEBE6;25;162;47;;Andong;South Korea;Vocalist, Main Dancer;K-pop;Female;23.04.2020;25.07.1994
1068;Rena;K12 Company;Kim Bokyung;BEBE6;27;166;51;;Busan;South Korea;Leader, Lead Vocalist, Main Rapper, Lead Dancer;K-pop;Female;23.04.2020;15.05.1992
1069;Mark  ;JYP Entertainment;Mark Yi En Tuan;GOT7;26;175;60;A;;USA;Lead Rapper, Lead Dancer, Sub-Vocalist, Visual;K-pop;Male;23.04.2020;04.09.1993
1070;Jackson  ;JYP Entertainment;Wang Jia Er / Wang Ka Yee;GOT7;26;174;63;O;Hong Kong;China;Main Rapper, Lead Dancer, Sub-Vocalist, Face of The Group;K-pop;Male;23.04.2020;28.03.1994
1071;Jinyoung  ;JYP Entertainment;Park Jin Young;GOT7;25;178;63;O;;South Korea;Lead Vocalist, Lead Dancer, Rapper, Visual, Center, Face of The Group;K-pop;Male;23.04.2020;22.09.1994
1072;Youngjae  ;JYP Entertainment;Choi Young Jae;GOT7;23;177;65;B;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;17.09.1996
1073;JB  ;JYP Entertainment;Im Jae Beom;GOT7;26;179;66;A;Gyeonggi-do;South Korea;Leader, Main Vocalist, Lead Dancer, Center;K-pop;Male;23.04.2020;06.01.1994
1074;Jinwoon;JYP Entertainment;Jeong Jin Woon;2AM;28;185;75;O;Seoul;South Korea;Vocalist, Main Rapper, Maknae;K-pop;Male;23.04.2020;02.05.1991
1075;Seulong;JYP Entertainment;Lim Seul Ong;2AM;32;186;85;O;Seoul;South Korea;Vocalist;K-pop;Male;23.04.2020;11.05.1987
1076;Yugyeom  ;JYP Entertainment;Kim Yu Gyeom;GOT7;22;183;67;A;Gyeonggi-do;South Korea;Main Dancer, Lead Vocalist, Rapper, Maknae;K-pop;Male;23.04.2020;17.11.1997
1077;Jun.K;JYP Entertainment;Kim Min Jun;2PM;32;180;68;A;Daegu;South Korea;Main Vocalist;K-pop;Male;23.04.2020;15.01.1988
1078;Nichkhun;JYP Entertainment;Nichkhun Buck Horvejkul;2PM;31;180;64;O;Bangkok;Thailand;Vocalist, Rapper, Visual;K-pop;Male;23.04.2020;24.06.1988
1079;Taecyeon;JYP Entertainment;Ok Taec Yeon;2PM;31;185;76;AB;;South Korea;Main Rapper, Sub-Vocalist, 2nd Visual;K-pop;Male;23.04.2020;27.12.1988
1080;Junho;JYP Entertainment;;2PM;31;178;65;B;Busan;South Korea;Main Dancer, Lead Vocalist;K-pop;Male;23.04.2020;30.04.1989
1081;Chansung;JYP Entertainment;Lee Jun Ho;2PM;30;178;67;A;Goyang;South Korea;Main Vocalist, Lead Dancer;K-pop;Male;23.04.2020;25.01.1990
1082;Hwang Chan Sung;JYP Entertainment;Hwang Chan Sung;2PM;30;184;75;B;Seoul;South Korea;Lead Rapper, Vocalist, Maknae;K-pop;Male;23.04.2020;11.02.1990
1083;Sungjin;JYP Entertainment;Park Sung Jin;Day6;27;177;70;A;South Korea;South Korea;Leader, Main Vocalist, Rhythm Guitarist;K-pop;Male;23.04.2020;16.01.1993
1084;Junhyeok;JYP Entertainment;Im Jun Hyuk;Day6;26;175;58;O;Bucheon;South Korea;Keyboardist, Vocalist;K-pop;Male;23.04.2020;17.07.1993
1085;Jae;JYP Entertainment;Park Jae Hyung;Day6;27;182;65;B;;South Korea;Lead Guitarist, Lead Vocalist;K-pop;Male;23.04.2020;15.09.1992
1086;Young K;JYP Entertainment;;Day6;26;180;;B;;South Korea;Main Rapper, Lead Vocalist, Bassist;K-pop;Male;23.04.2020;19.12.1993
1087;Wonpil;JYP Entertainment;Kim Won Pil;Day6;26;176;60;A;Incheon;South Korea;Lead Vocalist, Keyboardist, Synthesizer, Visual;K-pop;Male;23.04.2020;28.04.1994
1088;Dowoon;JYP Entertainment;Yoon Do Woon;Day6;24;177;60;O;Busan;South Korea;Drummer, Maknae;K-pop;Male;23.04.2020;25.08.1995
1089;BamBam  ;JYP Entertainment;Kunpimook Bhuwakul Bambam;GOT7;22;178;60;B;Bangkok;Thailand;Lead Rapper, Lead Dancer, Sub-Vocalist;K-pop;Male;23.04.2020;02.05.1997
1090;Hyunjin;JYP Entertainment;;Stray Kids;20;179;;B;Seoul;South Korea;Main Dancer, Lead Rapper, Visual;K-pop;Male;23.04.2020;20.03.2000
1091;Yeji  ;JYP Entertainment;Hwang Yeji;ITZY;19;170;46;A;;South Korea;Leader, Main Dancer, Lead Vocalist, Lead Rapper;K-pop;Female;23.04.2020;26.05.2000
1092;Mina  ;JYP Entertainment;Myoui Mina;Twice;23;163;46;A;;Japan;Main Dancer, Vocalist;K-pop;Female;23.04.2020;24.03.1997
1093;Felix;JYP Entertainment;;Stray Kids;19;171;;AB;;South Korea;Lead Dancer, Lead Rapper;K-pop;Male;23.04.2020;15.09.2000
1094;Seungmin;JYP Entertainment;;Stray Kids;19;175;56;A;Seoul;South Korea;Main Vocalist;K-pop;Male;23.04.2020;22.09.2000
1095;I.N;JYP Entertainment;;Stray Kids;19;172;;A;Busan;South Korea;Vocalist, Maknae;K-pop;Male;23.04.2020;08.02.2001
1096;Jihyo  ;JYP Entertainment;Park Ji Soo;Twice;23;162;56;O;Gyeonggi-do;South Korea;Leader, Main Vocalist;K-pop;Female;23.04.2020;01.02.1997
1097;Nayeon  ;JYP Entertainment;Im Na Yeon;Twice;24;163;47;A;;South Korea;Lead Vocalist, Lead Dancer, Center;K-pop;Female;23.04.2020;22.09.1995
1098;Jeongyeon  ;JYP Entertainment;Yoo Kyung Wan;Twice;23;169;49;O;Suwon;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;01.11.1996
1099;Momo  ;JYP Entertainment;Hirai Momo;Twice;23;167;48;A;Kyoto;Japan;Main Dancer, Vocalist, Rapper;K-pop;Female;23.04.2020;09.11.1996
1100;Sana  ;JYP Entertainment;Minatozaki Sana;Twice;23;168;48;B;Osaka;Japan;Vocalist;K-pop;Female;23.04.2020;29.12.1996
1101;Jokwon;JYP Entertainment;Jo Kwon;2AM;30;173;53;A;Suwon;South Korea;Leader, Lead Vocalist;K-pop;Male;23.04.2020;28.08.1989
1102;Ryujin  ;JYP Entertainment;Shin Ryujin;ITZY;19;165;47;B;;South Korea;Main Rapper, Lead Dancer, Vocalist, Center;K-pop;Female;23.04.2020;17.04.2001
1103;Dahyun  ;JYP Entertainment;Kim Da Hyun;Twice;21;165;49;O;Gyeonggi-do;South Korea;Lead Rapper, Vocalist;K-pop;Female;23.04.2020;28.05.1998
1104;Chaeyoung  ;JYP Entertainment;Son Chae Young;Twice;21;163;48;B;Seoul;South Korea;Main Rapper, Vocalist;K-pop;Female;23.04.2020;23.04.1999
1105;Tzuyu  ;JYP Entertainment;Chou Tzuyu;Twice;20;170;48;A;;Taiwan;Lead Dancer, Vocalist, Visual, Maknae;K-pop;Female;23.04.2020;14.06.1999
1106;Han;JYP Entertainment;;Stray Kids;19;169;;B;Incheon;South Korea;Main Rapper,Lead Vocalist, Producer;K-pop;Male;23.04.2020;14.09.2000
1107;Changbin;JYP Entertainment;;Stray Kids;20;167;;O;;South Korea;Main Rapper, Vocalist, Producer;K-pop;Male;23.04.2020;11.08.1999
1108;Lee Know;JYP Entertainment;;Stray Kids;21;172;;O;Gimpo;South Korea;Main Dancer, Vocalist, Rapper;K-pop;Male;23.04.2020;25.10.1998
1109;Bang Chan;JYP Entertainment;;Stray Kids;22;171;;O;;South Korea;Leader, Lead Vocalist, Lead Dancer, Rapper, Producer;K-pop;Male;23.04.2020;03.10.1997
1110;Yuna  ;JYP Entertainment;Shin Yuna;ITZY;16;172;48;A;;South Korea;Lead Dancer, Rapper, Vocalist, Visual, Maknae;K-pop;Female;23.04.2020;09.12.2003
1111;Chaeryeong  ;JYP Entertainment;Lee Chaeryeong;ITZY;18;168;46;B;;South Korea;Main Dancer, Vocalist, Rapper;K-pop;Female;23.04.2020;05.06.2001
1112;Changmin;JYP Entertainment;Lee Chang Min;2AM;34;180;72;A;Seoul;South Korea;Main Vocalist, Rapper;K-pop;Male;23.04.2020;01.05.1986
1113;Lia  ;JYP Entertainment;Choi Jisu;ITZY;19;163;47;AB;;South Korea;Main Vocalist, Rapper;K-pop;Female;23.04.2020;21.07.2000
1114;Donghyun;JWK Entertainment;Lee Donghyun;LU:KUS;29;184;67;AB;;South Korea;Leader, Lead Vocalist;K-pop;Male;23.04.2020;28.04.1991
1115;Haewon;JWK Entertainment;Jung Haewon;LU:KUS;28;185;75;A;;South Korea;Rapper, Sub-Vocalist, Composer, Arranger, Lyricist;K-pop;Male;23.04.2020;20.06.1991
1116;Kyungjin;JWK Entertainment;Min Kyungjin;LU:KUS;27;181;62;A;;South Korea;Vocalist;K-pop;Male;23.04.2020;11.07.1992
1117;Choi;JWK Entertainment;Choi Seokhoon;LU:KUS;26;183;65;A;;South Korea;Main Vocalist, Maknae;K-pop;Male;23.04.2020;21.05.1993
1118;Jinwan;JWK Entertainment;Kim Jinwan;LU:KUS;24;188;69;AB;;South Korea;Rapper, Maknae;K-pop;Male;23.04.2020;07.09.1995
1119;Riho;Jungle Entertainment;Jin Seungwook;VARSITY;22;178;59;O;Incheon;South Korea;Lead Vocalist;K-pop;Male;23.04.2020;01.03.1998
1120;Dawon;Jungle Entertainment;Cho Dawon;VARSITY;19;185;69;A;Seoul;South Korea;Vocalist;K-pop;Male;23.04.2020;12.05.2000
1121;Yunho;Jungle Entertainment;Jang Yunho;VARSITY;;178;57;AB;;South Korea;Lead Vocalist, Lead Dancer;K-pop;Male;23.04.2020;
1122;Anthony;Jungle Entertainment;Anthony Lo;VARSITY;22;180;57;;;China;Vocalist, Rapper, Visual;K-pop;Male;23.04.2020;12.03.1998
1123;Seungbo;Jungle Entertainment;Jung Seungbo;VARSITY;22;178;64;A;Ilsan;South Korea;Lead Vocalist;K-pop;Male;23.04.2020;01.11.1997
1124;Jaebin;Jungle Entertainment;Dngbn;VARSITY;23;181;63;;Hunan;China;Vocalist;K-pop;Male;23.04.2020;13.02.1997
1125;Xin;Jungle Entertainment;Wng Xny;VARSITY;23;178;60;;;China;Vocalist;K-pop;Male;23.04.2020;10.11.1996
1126;Xiweol;Jungle Entertainment;Kang Minseok;VARSITY;23;174;54;AB;Cheongju;South Korea;Main Vocalist;K-pop;Male;23.04.2020;21.10.1996
1127;Damon;Jungle Entertainment;Qi Bo Hn;VARSITY;23;180;63;B;;China;Main Dancer;K-pop;Male;23.04.2020;02.07.1996
1128;Junwoo;Jungle Entertainment;Jin Joonwoo;VARSITY;24;182;63;B;Daegu;South Korea;Main Rapper, Vocalist;K-pop;Male;23.04.2020;02.12.1995
1129;Manny;Jungle Entertainment;Xio Dngchng;VARSITY;18;168;64;B;;China;Lead Rapper, Maknae;K-pop;Male;23.04.2020;17.11.2001
1130;Hyeji;Jungle Entertainment;;4TEN;28;166;47;AB;Goyang;South Korea;Leader, Main Vocalist;K-pop;Female;23.04.2020;02.04.1992
1131;HeeO;Jungle Entertainment;;4TEN;25;;;B;Anyang;South Korea;Main Rapper, Main Dancer, Vocalist;K-pop;Female;23.04.2020;02.05.1994
1132;Hyejin;Jungle Entertainment;;4TEN;23;165;46;O;Seoul;South Korea;Sub Vocalist, Lead Dancer, Maknae;K-pop;Female;23.04.2020;21.11.1996
1133;Kid;Jungle Entertainment;Kim Junhoe;VARSITY;24;177;61;B;;South Korea;Leader, Main Vocalist, Lead Dancer;K-pop;Male;23.04.2020;26.10.1995
1134;Nayeon;JTG Entertainment;;Berry Good;23;161;42;B;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;15.05.1996
1135;Chaeyeon;JTG Entertainment;;Busters;15;168;42;;Seoul;South Korea;Main Rapper, Lead Dancer, Vocalist, Center, Face of The Group;K-pop;Female;23.04.2020;04.12.2004
1136;Iera;JTG Entertainment;;Berry Good;25;163;44;O;;South Korea;Main Rapper, Vocalist;K-pop;Female;23.04.2020;10.04.1995
1137;Jieun;JTG Entertainment;Jeon Jieun;Busters;15;159;;;;South Korea;;K-pop;Female;23.04.2020;05.03.2005
